"physeq","agg_level","filtTax","filtTaxPar","filtSamp","filtSampPar","samples_agglo","ASVs_agglo","samples_IBS","ASVs_IBS","samples_H","ASVs_H","samples_filtered_IBS","ASVs_filtered_IBS","samples_filtered_H","ASVs_filtered_H"
"agp","Class","highestVar",40,"totalReads",0,1191,74,589,59,602,61,589,37,602,37
"agp","Class","highestVar",40,"totalReads",500,1191,74,589,59,602,61,589,37,602,37
"agp","Class","highestVar",100,"totalReads",0,1191,74,589,59,602,61,589,46,602,46
"agp","Class","highestVar",100,"totalReads",500,1191,74,589,59,602,61,589,46,602,46
"agp","Class","highestVar",150,"totalReads",0,1191,74,589,59,602,61,589,46,602,46
"agp","Class","highestVar",150,"totalReads",500,1191,74,589,59,602,61,589,46,602,46
"agp","Phylum","highestVar",40,"totalReads",0,1191,32,589,26,602,30,589,24,602,24
"agp","Phylum","highestVar",40,"totalReads",500,1191,32,589,26,602,30,589,24,602,24
"agp","Phylum","highestVar",100,"totalReads",0,1191,32,589,26,602,30,589,24,602,24
"agp","Phylum","highestVar",100,"totalReads",500,1191,32,589,26,602,30,589,24,602,24
"agp","Phylum","highestVar",150,"totalReads",0,1191,32,589,26,602,30,589,24,602,24
"agp","Phylum","highestVar",150,"totalReads",500,1191,32,589,26,602,30,589,24,602,24
"agp","Order","highestVar",40,"totalReads",0,1191,168,589,137,602,141,589,37,602,37
"agp","Order","highestVar",40,"totalReads",500,1191,168,589,137,602,141,589,37,602,37
"agp","Order","highestVar",100,"totalReads",0,1191,168,589,137,602,141,589,94,602,94
"agp","Order","highestVar",100,"totalReads",500,1191,168,589,137,602,141,589,94,602,94
"agp","Order","highestVar",150,"totalReads",0,1191,168,589,137,602,141,589,110,602,110
"agp","Order","highestVar",150,"totalReads",500,1191,168,589,137,602,141,589,110,602,110
"agp","Family","highestVar",40,"totalReads",0,1191,312,589,259,602,258,589,34,602,34
"agp","Family","highestVar",40,"totalReads",500,1191,312,589,259,602,258,589,34,602,34
"agp","Family","highestVar",100,"totalReads",0,1191,312,589,259,602,258,589,91,602,91
"agp","Family","highestVar",100,"totalReads",500,1191,312,589,259,602,258,589,91,602,91
"agp","Family","highestVar",150,"totalReads",0,1191,312,589,259,602,258,589,134,602,134
"agp","Family","highestVar",150,"totalReads",500,1191,312,589,259,602,258,589,134,602,134
"agp","Genus","highestVar",40,"totalReads",0,1191,883,589,756,602,707,589,32,602,32
"agp","Genus","highestVar",40,"totalReads",500,1191,883,589,756,602,707,589,32,602,32
"agp","Genus","highestVar",100,"totalReads",0,1191,883,589,756,602,707,589,85,602,85
"agp","Genus","highestVar",100,"totalReads",500,1191,883,589,756,602,707,589,85,602,85
"agp","Genus","highestVar",150,"totalReads",0,1191,883,589,756,602,707,589,129,602,129
"agp","Genus","highestVar",150,"totalReads",500,1191,883,589,756,602,707,589,129,602,129
"fukui","Class","highestVar",40,"totalReads",0,110,19,84,19,26,16,84,16,26,16
"fukui","Class","highestVar",40,"totalReads",500,110,19,84,19,26,16,84,16,26,16
