"physeq","agg_level","filtTax","filtTaxPar","filtSamp","filtSampPar","samples_agglo","ASVs_agglo","samples_IBS","ASVs_IBS","samples_H","ASVs_H","samples_filtered_IBS","ASVs_filtered_IBS","samples_filtered_H","ASVs_filtered_H"
"agp","Class","numbSamp",5,"totalReads",0,1191,74,589,59,602,61,589,24,602,24
"agp","Class","numbSamp",5,"totalReads",500,1191,74,589,59,602,61,589,24,602,24
"agp","Class","numbSamp",10,"totalReads",0,1191,74,589,59,602,61,589,22,602,22
"agp","Class","numbSamp",10,"totalReads",500,1191,74,589,59,602,61,589,22,602,22
"agp","Phylum","numbSamp",5,"totalReads",0,1191,32,589,26,602,30,589,15,602,15
"agp","Phylum","numbSamp",5,"totalReads",500,1191,32,589,26,602,30,589,15,602,15
"agp","Phylum","numbSamp",10,"totalReads",0,1191,32,589,26,602,30,589,13,602,13
"agp","Phylum","numbSamp",10,"totalReads",500,1191,32,589,26,602,30,589,13,602,13
"agp","Order","numbSamp",5,"totalReads",0,1191,168,589,137,602,141,589,64,602,64
"agp","Order","numbSamp",5,"totalReads",500,1191,168,589,137,602,141,589,64,602,64
"agp","Order","numbSamp",10,"totalReads",0,1191,168,589,137,602,141,589,58,602,58
"agp","Order","numbSamp",10,"totalReads",500,1191,168,589,137,602,141,589,58,602,58
"agp","Family","numbSamp",5,"totalReads",0,1191,312,589,259,602,258,589,120,602,120
"agp","Family","numbSamp",5,"totalReads",500,1191,312,589,259,602,258,589,120,602,120
"agp","Family","numbSamp",10,"totalReads",0,1191,312,589,259,602,258,589,110,602,110
"agp","Family","numbSamp",10,"totalReads",500,1191,312,589,259,602,258,589,110,602,110
"agp","Genus","numbSamp",5,"totalReads",0,1191,883,589,756,602,707,589,335,602,335
"agp","Genus","numbSamp",5,"totalReads",500,1191,883,589,756,602,707,589,335,602,335
"agp","Genus","numbSamp",10,"totalReads",0,1191,883,589,756,602,707,589,278,602,278
"agp","Genus","numbSamp",10,"totalReads",500,1191,883,589,756,602,707,589,278,602,278
"fukui","Class","numbSamp",5,"totalReads",0,110,19,84,19,26,16,84,10,26,10
"fukui","Class","numbSamp",5,"totalReads",500,110,19,84,19,26,16,84,10,26,10
"fukui","Class","numbSamp",10,"totalReads",0,110,19,84,19,26,16,84,10,26,10
"fukui","Class","numbSamp",10,"totalReads",500,110,19,84,19,26,16,84,10,26,10
"fukui","Phylum","numbSamp",5,"totalReads",0,110,12,84,12,26,10,84,7,26,7
"fukui","Phylum","numbSamp",5,"totalReads",500,110,12,84,12,26,10,84,7,26,7
"fukui","Phylum","numbSamp",10,"totalReads",0,110,12,84,12,26,10,84,7,26,7
"fukui","Phylum","numbSamp",10,"totalReads",500,110,12,84,12,26,10,84,7,26,7
"fukui","Order","numbSamp",5,"totalReads",0,110,48,84,46,26,39,84,25,26,25
"fukui","Order","numbSamp",5,"totalReads",500,110,48,84,46,26,39,84,25,26,25
"fukui","Order","numbSamp",10,"totalReads",0,110,48,84,46,26,39,84,20,26,20
"fukui","Order","numbSamp",10,"totalReads",500,110,48,84,46,26,39,84,20,26,20
"fukui","Family","numbSamp",5,"totalReads",0,110,91,84,88,26,68,84,43,26,43
"fukui","Family","numbSamp",5,"totalReads",500,110,91,84,88,26,68,84,43,26,43
"fukui","Family","numbSamp",10,"totalReads",0,110,91,84,88,26,68,84,32,26,32
"fukui","Family","numbSamp",10,"totalReads",500,110,91,84,88,26,68,84,32,26,32
"fukui","Genus","numbSamp",5,"totalReads",0,110,283,84,274,26,210,84,108,26,108
"fukui","Genus","numbSamp",5,"totalReads",500,110,283,84,274,26,210,84,108,26,108
"fukui","Genus","numbSamp",10,"totalReads",0,110,283,84,274,26,210,84,76,26,76
"fukui","Genus","numbSamp",10,"totalReads",500,110,283,84,274,26,210,84,76,26,76
"hugerth","Class","numbSamp",5,"totalReads",0,525,30,121,22,404,29,121,15,404,15
"hugerth","Class","numbSamp",5,"totalReads",500,525,30,121,22,404,29,121,15,404,15
"hugerth","Class","numbSamp",10,"totalReads",0,525,30,121,22,404,29,121,15,404,15
"hugerth","Class","numbSamp",10,"totalReads",500,525,30,121,22,404,29,121,15,404,15
"hugerth","Phylum","numbSamp",5,"totalReads",0,525,18,121,13,404,18,121,9,404,9
"hugerth","Phylum","numbSamp",5,"totalReads",500,525,18,121,13,404,18,121,9,404,9
"hugerth","Phylum","numbSamp",10,"totalReads",0,525,18,121,13,404,18,121,9,404,9
"hugerth","Phylum","numbSamp",10,"totalReads",500,525,18,121,13,404,18,121,9,404,9
"hugerth","Order","numbSamp",5,"totalReads",0,525,70,121,54,404,66,121,38,404,38
"hugerth","Order","numbSamp",5,"totalReads",500,525,70,121,54,404,66,121,38,404,38
"hugerth","Order","numbSamp",10,"totalReads",0,525,70,121,54,404,66,121,31,404,31
"hugerth","Order","numbSamp",10,"totalReads",500,525,70,121,54,404,66,121,31,404,31
"hugerth","Family","numbSamp",5,"totalReads",0,525,128,121,101,404,122,121,68,404,68
"hugerth","Family","numbSamp",5,"totalReads",500,525,128,121,101,404,122,121,68,404,68
"hugerth","Family","numbSamp",10,"totalReads",0,525,128,121,101,404,122,121,50,404,50
"hugerth","Family","numbSamp",10,"totalReads",500,525,128,121,101,404,122,121,50,404,50
"hugerth","Genus","numbSamp",5,"totalReads",0,525,353,121,273,404,336,121,170,404,170
"hugerth","Genus","numbSamp",5,"totalReads",500,525,353,121,273,404,336,121,170,404,170
"hugerth","Genus","numbSamp",10,"totalReads",0,525,353,121,273,404,336,121,124,404,124
"hugerth","Genus","numbSamp",10,"totalReads",500,525,353,121,273,404,336,121,124,404,124
"labus","Class","numbSamp",5,"totalReads",0,52,10,29,9,23,8,29,6,23,6
"labus","Class","numbSamp",5,"totalReads",500,52,10,29,9,23,8,29,6,23,6
"labus","Class","numbSamp",10,"totalReads",0,52,10,29,9,23,8,29,5,23,5
"labus","Class","numbSamp",10,"totalReads",500,52,10,29,9,23,8,29,5,23,5
"labus","Phylum","numbSamp",5,"totalReads",0,52,6,29,6,23,5,29,4,23,4
"labus","Phylum","numbSamp",5,"totalReads",500,52,6,29,6,23,5,29,4,23,4
"labus","Phylum","numbSamp",10,"totalReads",0,52,6,29,6,23,5,29,3,23,3
"labus","Phylum","numbSamp",10,"totalReads",500,52,6,29,6,23,5,29,3,23,3
"labus","Order","numbSamp",5,"totalReads",0,52,22,29,20,23,19,29,10,23,10
"labus","Order","numbSamp",5,"totalReads",500,52,22,29,20,23,19,29,10,23,10
"labus","Order","numbSamp",10,"totalReads",0,52,22,29,20,23,19,29,6,23,6
"labus","Order","numbSamp",10,"totalReads",500,52,22,29,20,23,19,29,6,23,6
"labus","Family","numbSamp",5,"totalReads",0,52,46,29,43,23,37,29,17,23,17
"labus","Family","numbSamp",5,"totalReads",500,52,46,29,43,23,37,29,17,23,17
"labus","Family","numbSamp",10,"totalReads",0,52,46,29,43,23,37,29,8,23,8
"labus","Family","numbSamp",10,"totalReads",500,52,46,29,43,23,37,29,8,23,8
"labus","Genus","numbSamp",5,"totalReads",0,52,132,29,99,23,102,29,21,23,21
"labus","Genus","numbSamp",5,"totalReads",500,52,132,29,99,23,102,29,21,23,21
"labus","Genus","numbSamp",10,"totalReads",0,52,132,29,99,23,102,29,8,23,8
"labus","Genus","numbSamp",10,"totalReads",500,52,132,29,99,23,102,29,8,23,8
"liu","Class","numbSamp",5,"totalReads",0,128,113,84,112,44,26,84,13,44,13
"liu","Class","numbSamp",5,"totalReads",500,128,113,84,112,44,26,84,13,44,13
"liu","Class","numbSamp",10,"totalReads",0,128,113,84,112,44,26,84,12,44,12
"liu","Class","numbSamp",10,"totalReads",500,128,113,84,112,44,26,84,12,44,12
"liu","Phylum","numbSamp",5,"totalReads",0,128,44,84,44,44,16,84,9,44,9
"liu","Phylum","numbSamp",5,"totalReads",500,128,44,84,44,44,16,84,9,44,9
"liu","Phylum","numbSamp",10,"totalReads",0,128,44,84,44,44,16,84,8,44,8
"liu","Phylum","numbSamp",10,"totalReads",500,128,44,84,44,44,16,84,8,44,8
"liu","Order","numbSamp",5,"totalReads",0,128,259,84,257,44,62,84,28,44,28
"liu","Order","numbSamp",5,"totalReads",500,128,259,84,257,44,62,84,28,44,28
"liu","Order","numbSamp",10,"totalReads",0,128,259,84,257,44,62,84,22,44,22
"liu","Order","numbSamp",10,"totalReads",500,128,259,84,257,44,62,84,22,44,22
"liu","Family","numbSamp",5,"totalReads",0,128,457,84,452,44,113,84,47,44,47
"liu","Family","numbSamp",5,"totalReads",500,128,457,84,452,44,113,84,47,44,47
"liu","Family","numbSamp",10,"totalReads",0,128,457,84,452,44,113,84,41,44,41
"liu","Family","numbSamp",10,"totalReads",500,128,457,84,452,44,113,84,41,44,41
"liu","Genus","numbSamp",5,"totalReads",0,128,1026,84,1002,44,303,84,136,44,136
"liu","Genus","numbSamp",5,"totalReads",500,128,1026,84,1002,44,303,84,136,44,136
"liu","Genus","numbSamp",10,"totalReads",0,128,1026,84,1002,44,303,84,105,44,105
"liu","Genus","numbSamp",10,"totalReads",500,128,1026,84,1002,44,303,84,105,44,105
"lopresti","Class","numbSamp",5,"totalReads",0,57,11,23,9,34,10,23,5,34,5
"lopresti","Class","numbSamp",5,"totalReads",500,57,11,23,9,34,10,23,5,34,5
"lopresti","Class","numbSamp",10,"totalReads",0,57,11,23,9,34,10,23,5,34,5
"lopresti","Class","numbSamp",10,"totalReads",500,57,11,23,9,34,10,23,5,34,5
"lopresti","Phylum","numbSamp",5,"totalReads",0,57,8,23,7,34,7,23,3,34,3
"lopresti","Phylum","numbSamp",5,"totalReads",500,57,8,23,7,34,7,23,3,34,3
"lopresti","Phylum","numbSamp",10,"totalReads",0,57,8,23,7,34,7,23,3,34,3
"lopresti","Phylum","numbSamp",10,"totalReads",500,57,8,23,7,34,7,23,3,34,3
"lopresti","Order","numbSamp",5,"totalReads",0,57,27,23,21,34,25,23,11,34,11
"lopresti","Order","numbSamp",5,"totalReads",500,57,27,23,21,34,25,23,11,34,11
"lopresti","Order","numbSamp",10,"totalReads",0,57,27,23,21,34,25,23,4,34,4
"lopresti","Order","numbSamp",10,"totalReads",500,57,27,23,21,34,25,23,4,34,4
"lopresti","Family","numbSamp",5,"totalReads",0,57,48,23,40,34,37,23,14,34,14
"lopresti","Family","numbSamp",5,"totalReads",500,57,48,23,40,34,37,22,14,34,14
"lopresti","Family","numbSamp",10,"totalReads",0,57,48,23,40,34,37,23,6,34,6
"lopresti","Family","numbSamp",10,"totalReads",500,57,48,23,40,34,37,22,6,34,6
"lopresti","Genus","numbSamp",5,"totalReads",0,57,115,23,82,34,91,23,15,34,15
"lopresti","Genus","numbSamp",5,"totalReads",500,57,115,23,82,34,91,22,15,31,15
"lopresti","Genus","numbSamp",10,"totalReads",0,57,115,23,82,34,91,23,6,34,6
"lopresti","Genus","numbSamp",10,"totalReads",500,57,115,23,82,34,91,22,5,31,5
"mars","Class","numbSamp",5,"totalReads",0,69,30,45,28,24,24,45,12,24,12
"mars","Class","numbSamp",5,"totalReads",500,69,30,45,28,24,24,45,12,24,12
"mars","Class","numbSamp",10,"totalReads",0,69,30,45,28,24,24,45,10,24,10
"mars","Class","numbSamp",10,"totalReads",500,69,30,45,28,24,24,45,10,24,10
"mars","Phylum","numbSamp",5,"totalReads",0,69,17,45,17,24,15,45,8,24,8
